observation_id,observation_captured_at,feature_available_at,starts_at,minutes_to_start,sport,model_version,event_id,game_pk,away_team,home_team,player_id,mlb_player_id,player_name,stat_id,market_name,line,side,label,model_mean,raw_independent_probability,model_probability,push_probability,market_fair_probability,edge_pct_points,best_book,best_odds,exact_line_book_count,paired_books,ev_pct,data_quality,status,market_open_line,market_current_line,line_move_open_to_current,market_open_fair_probability,market_current_fair_probability,market_probability_move_pp,market_quote_age_minutes,player_role,player_team_side,in_starting_lineup,batting_order_spot,is_confirmed_starter,catcher_change_after_model,opposing_starter_change_after_model,opposing_handedness_change_after_model,verification_data_quality,opposing_starter_hand,own_starter_hand,own_lineup_avg_ops,opponent_lineup_avg_ops,own_bullpen_score,opponent_bullpen_score,own_bullpen_level,opponent_bullpen_level,game_starter_changed,game_lineup_changed,game_catcher_changed,game_handedness_changed,weather_impact_direction,weather_impact_multiplier,weather_environment_multiplier,prop_delay_risk,prop_weather_data_quality,weather_change_after_model,roof_status,temp_f,humidity_pct,precip_probability_pct,wind_mph,wind_direction_deg,wind_class,park_factor,run_multiplier,hr_multiplier,hits_tb_multiplier,starter_durability_multiplier,strikeout_opportunity_multiplier,game_delay_risk,game_weather_data_quality,pitchmix_available,pitchmix_weighted_xwoba_delta,pitchmix_probability_adjustment,pitchmix_arsenal_coverage,pitchmix_usable_usage,feature_source_count,won,pushed,outcome
2,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,RANDY_AROZARENA_1_MLB,668227,Randy Arozarena,batting_hits,Randy Arozarena Hits Over/Under,0.5,over,Randy Arozarena OVER 0.5 Hits,1.146,0.741,0.6814,0,0.5705,11.08,betmgm,-155,4,2,12.1,1,PLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,false,L
3,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,RANDY_AROZARENA_1_MLB,668227,Randy Arozarena,batting_totalBases,Randy Arozarena Total Bases Over/Under,0.5,over,Randy Arozarena OVER 0.5 Total Bases,1.973,0.741,0.6808,0,0.5688,11.19,betmgm,-155,2,2,12,1,PLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,false,L
4,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,DOMINIC_CANZONE_1_MLB,686527,Dominic Canzone,batting_totalBases,Dominic Canzone Total Bases Over/Under,1.5,over,Dominic Canzone OVER 1.5 Total Bases,2.036,0.4907,0.4577,0,0.3963,6.13,draftkings,143,3,1,11.21,1,PLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,false,L
5,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,DOMINIC_CANZONE_1_MLB,686527,Dominic Canzone,batting_hits,Dominic Canzone Hits Over/Under,0.5,over,Dominic Canzone OVER 0.5 Hits,1.097,0.721,0.68,0,0.6038,7.61,fanduel,-170,4,2,8,1,PLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,true,false,W
6,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,JOSH_NAYLOR_1_MLB,647304,Josh Naylor,batting_hits,Josh Naylor Hits Over/Under,0.5,over,Josh Naylor OVER 0.5 Hits,1.092,0.7207,0.6786,0,0.6003,7.82,draftkings,-170,4,2,7.77,1,PLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,false,L
7,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,YORDAN_ALVAREZ_1_MLB,670541,Yordan Alvarez,batting_hits,Yordan Alvarez Hits Over/Under,0.5,over,Yordan Alvarez OVER 0.5 Hits,1.139,0.739,0.6958,0,0.6154,8.03,betmgm,-190,4,2,6.19,1,PLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,true,false,W
8,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,JEREMY_PENA_1_MLB,665161,Jeremy Peña,batting_hits,Jeremy Peña Hits Over/Under,0.5,over,Jeremy Peña OVER 0.5 Hits,1.143,0.7315,0.6951,0,0.6274,6.77,betmgm,-190,4,2,6.09,0.912,PLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,true,false,W
9,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,doJ3OwfigTEzDZ1TE5sP,824953,Los Angeles Angels,Athletics,BRADY_BASSO_1_MLB,669620,Brady Basso,pitching_strikeouts,Brady Basso Strikeouts Over/Under,3.5,over,Brady Basso OVER 3.5 Ks,6.239,0.8689,0.7208,0,0.4458,27.5,betmgm,115,4,4,54.97,0.333,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,false,L
10,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,RANDY_AROZARENA_1_MLB,668227,Randy Arozarena,batting_totalBases,Randy Arozarena Total Bases Over/Under,1.5,over,Randy Arozarena OVER 1.5 Total Bases,1.973,0.4816,0.4816,0,,,draftkings,166,2,0,28.09,1,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,false,L
11,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,CRISTIAN_JAVIER_1_MLB,664299,Cristian Javier,pitching_strikeouts,Cristian Javier Strikeouts Over/Under,4.5,over,Cristian Javier OVER 4.5 Ks,5.568,0.6529,0.5869,0,0.4641,12.27,fanduel,106,4,4,20.89,0.611,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,false,L
